,n_movies,n_cat,time,n_output
0,1.0,1.0,0.006891041994094849,1.0
1,1.0,2.0,0.007348333994741552,1.0
2,1.0,3.0,0.008382500003790483,1.0
3,1.0,4.0,0.006436459007090889,1.0
4,1.0,5.0,0.007214334007585421,1.0
5,1.0,6.0,0.0068359590077307075,1.0
6,1.0,7.0,0.007070833002217114,1.0
7,1.0,8.0,0.006992624999838881,1.0
8,1.0,9.0,0.007152500009397045,0.0
9,1.0,10.0,0.007956874993396923,0.0
10,101.0,1.0,0.00752279200241901,1.0
11,101.0,2.0,0.006926707996171899,3.0
12,101.0,3.0,0.007366207995801233,7.0
13,101.0,4.0,0.0074062089988728985,6.0
14,101.0,5.0,0.00736762500309851,8.0
15,101.0,6.0,0.007353124994551763,9.0
16,101.0,7.0,0.007822708997991867,9.0
17,101.0,8.0,0.007241083003464155,9.0
18,101.0,9.0,0.006779000003007241,8.0
19,101.0,10.0,0.006745958002284169,7.0
20,201.0,1.0,0.007712625010753982,1.0
21,201.0,2.0,0.007406207994790748,3.0
22,201.0,3.0,0.00690070899145212,7.0
23,201.0,4.0,0.007387499994365498,5.0
24,201.0,5.0,0.0075493750046007335,7.0
25,201.0,6.0,0.0073711250006454065,10.0
26,201.0,7.0,0.008176041999831796,10.0
27,201.0,8.0,0.0075857500050915405,8.0
28,201.0,9.0,0.007191124997916631,8.0
29,201.0,10.0,0.007240249993628822,12.0
30,301.0,1.0,0.00765362499805633,1.0
31,301.0,2.0,0.008056082995608449,2.0
32,301.0,3.0,0.007832458009943366,6.0
33,301.0,4.0,0.007690041995374486,8.0
34,301.0,5.0,0.0075294589914847165,10.0
35,301.0,6.0,0.0075888329884037375,11.0
36,301.0,7.0,0.007163000002037734,9.0
37,301.0,8.0,0.007366999998339452,9.0
38,301.0,9.0,0.007548708003014326,11.0
39,301.0,10.0,0.007065500001772307,10.0
40,401.0,1.0,0.007643582997843623,1.0
41,401.0,2.0,0.00800537499890197,3.0
42,401.0,3.0,0.007993374994839542,6.0
43,401.0,4.0,0.007368999999016523,10.0
44,401.0,5.0,0.007503957996959798,9.0
45,401.0,6.0,0.007305333987460472,11.0
46,401.0,7.0,0.007172999990871176,10.0
47,401.0,8.0,0.007569541005068459,12.0
48,401.0,9.0,0.00742333299422171,10.0
49,401.0,10.0,0.008321542001795024,12.0
50,501.0,1.0,0.007935375004308298,1.0
51,501.0,2.0,0.0076430829940363765,3.0
52,501.0,3.0,0.00810370800900273,3.0
53,501.0,4.0,0.00818224999238737,10.0
54,501.0,5.0,0.008082125001237728,7.0
55,501.0,6.0,0.00799608399393037,10.0
56,501.0,7.0,0.007745875002001412,11.0
57,501.0,8.0,0.007360165996942669,12.0
58,501.0,9.0,0.007195290992967784,11.0
59,501.0,10.0,0.007274666000739671,11.0
60,601.0,1.0,0.00853945899871178,1.0
61,601.0,2.0,0.008207166989450343,3.0
62,601.0,3.0,0.007963292009662837,7.0
63,601.0,4.0,0.007515958001022227,11.0
64,601.0,5.0,0.0077638329967157915,9.0
65,601.0,6.0,0.008116124998196028,12.0
66,601.0,7.0,0.00854058399272617,10.0
67,601.0,8.0,0.007395708002150059,10.0
68,601.0,9.0,0.008343791996594518,13.0
