,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
0,1.0,1.0,0.006834958010585979,0.0,0.0
1,1.0,2.0,0.007199375017080456,1.0,4.0
2,1.0,3.0,0.006922083004610613,1.0,4.0
3,1.0,4.0,0.006655791017692536,1.0,3.0
4,1.0,5.0,0.006513291998999193,1.0,2.0
5,1.0,6.0,0.006533500010846183,1.0,3.0
6,1.0,7.0,0.006766875012544915,1.0,4.0
7,1.0,8.0,0.006784208002500236,1.0,3.0
8,1.0,9.0,0.006721165991621092,1.0,3.0
9,1.0,10.0,0.006869417004054412,1.0,4.0
10,1.0,11.0,0.006979625002713874,1.0,1.0
11,1.0,12.0,0.007435625011567026,1.0,5.0
12,1.0,13.0,0.006872625002870336,1.0,2.0
13,1.0,14.0,0.006378333026077598,1.0,4.0
14,1.0,15.0,0.006686833017738536,1.0,3.0
15,1.0,16.0,0.007221500010928139,1.0,3.0
16,1.0,17.0,0.006996375013841316,1.0,4.0
17,1.0,18.0,0.007284916006028652,1.0,2.0
18,1.0,19.0,0.0070972919929772615,1.0,1.0
19,1.0,20.0,0.00700595899252221,1.0,2.0
20,51.0,1.0,0.0070871250063646585,1.0,2.0
21,51.0,2.0,0.007236083009047434,2.0,5.0
22,51.0,3.0,0.006896375009091571,7.0,16.0
23,51.0,4.0,0.006868249998660758,8.0,20.0
24,51.0,5.0,0.006943959015188739,7.0,18.0
25,51.0,6.0,0.007273082999745384,11.0,19.0
26,51.0,7.0,0.006568167009390891,8.0,17.0
27,51.0,8.0,0.006828250014223158,8.0,15.0
28,51.0,9.0,0.006903791014337912,6.0,17.0
29,51.0,10.0,0.006907458009663969,7.0,19.0
30,51.0,11.0,0.006623583991313353,7.0,16.0
31,51.0,12.0,0.0064110420062206686,6.0,15.0
32,51.0,13.0,0.006710917019518092,8.0,19.0
33,51.0,14.0,0.006979375000810251,10.0,20.0
34,51.0,15.0,0.006972292001591995,7.0,16.0
35,51.0,16.0,0.007109500002115965,7.0,17.0
36,51.0,17.0,0.007013791997451335,8.0,19.0
37,51.0,18.0,0.007210499985376373,8.0,16.0
38,51.0,19.0,0.006939707993296906,7.0,18.0
39,51.0,20.0,0.006752416986273602,9.0,18.0
40,101.0,1.0,0.007095542008755729,1.0,3.0
41,101.0,2.0,0.006926916976226494,3.0,10.0
42,101.0,3.0,0.007151041005272418,6.0,14.0
43,101.0,4.0,0.007111999992048368,6.0,16.0
44,101.0,5.0,0.00754912500269711,8.0,17.0
45,101.0,6.0,0.007108833990059793,6.0,16.0
46,101.0,7.0,0.006836500018835068,8.0,17.0
47,101.0,8.0,0.006916416983585805,7.0,18.0
48,101.0,9.0,0.006254624982830137,9.0,20.0
49,101.0,10.0,0.006929334020242095,8.0,18.0
50,101.0,11.0,0.006899625004734844,7.0,18.0
51,101.0,12.0,0.006967166002141312,9.0,20.0
52,101.0,13.0,0.006809042009990662,10.0,19.0
53,101.0,14.0,0.007131082995329052,12.0,21.0
54,101.0,15.0,0.006868249998660758,10.0,21.0
55,101.0,16.0,0.006738875003065914,10.0,21.0
56,101.0,17.0,0.007089042017469183,9.0,18.0
57,101.0,18.0,0.0069104589929338545,8.0,18.0
58,101.0,19.0,0.007211541989818215,10.0,18.0
59,101.0,20.0,0.0068565419933293015,10.0,22.0
60,151.0,1.0,0.007208833994809538,1.0,5.0
61,151.0,2.0,0.007372666004812345,3.0,8.0
62,151.0,3.0,0.006930458010174334,3.0,8.0
63,151.0,4.0,0.00702316701062955,9.0,19.0
64,151.0,5.0,0.006936457997653633,8.0,16.0
65,151.0,6.0,0.007248875015648082,10.0,22.0
66,151.0,7.0,0.007707709009991959,11.0,23.0
67,151.0,8.0,0.006978708988754079,10.0,21.0
68,151.0,9.0,0.007282375008799136,12.0,21.0
69,151.0,10.0,0.007222457992611453,12.0,22.0
70,151.0,11.0,0.00710912499926053,9.0,22.0
71,151.0,12.0,0.006959333026316017,7.0,21.0
72,151.0,13.0,0.007188249990576878,10.0,22.0
73,151.0,14.0,0.006629083014559001,9.0,18.0
74,151.0,15.0,0.006708333996357396,8.0,19.0
75,151.0,16.0,0.006731208006385714,9.0,18.0
76,151.0,17.0,0.007202874985523522,9.0,20.0
77,151.0,18.0,0.006946250010514632,8.0,20.0
78,151.0,19.0,0.007431875012116507,9.0,22.0
79,151.0,20.0,0.007391042017843574,9.0,21.0
80,201.0,1.0,0.006896792008774355,1.0,3.0
81,201.0,2.0,0.007509332994231954,4.0,8.0
82,201.0,3.0,0.006833999999798834,5.0,11.0
83,201.0,4.0,0.0071490000118501484,7.0,14.0
84,201.0,5.0,0.0072543340211268514,11.0,21.0
85,201.0,6.0,0.006775957997888327,8.0,21.0
86,201.0,7.0,0.007372166001005098,10.0,21.0
87,201.0,8.0,0.007603041973197833,9.0,20.0
88,201.0,9.0,0.007391999999526888,10.0,21.0
89,201.0,10.0,0.006766624981537461,12.0,21.0
90,201.0,11.0,0.007226166024338454,9.0,22.0
91,201.0,12.0,0.006902333989273757,10.0,18.0
92,201.0,13.0,0.007156500010751188,11.0,21.0
93,201.0,14.0,0.006877708015963435,10.0,20.0
94,201.0,15.0,0.007158166990848258,10.0,18.0
95,201.0,16.0,0.007040416996460408,10.0,20.0
96,201.0,17.0,0.007005583000136539,9.0,21.0
97,201.0,18.0,0.006928125018021092,12.0,21.0
98,201.0,19.0,0.007625791011378169,12.0,20.0
99,201.0,20.0,0.007172417012043297,10.0,21.0
100,251.0,1.0,0.007032041001366451,1.0,2.0
101,251.0,2.0,0.006885165988933295,3.0,8.0
102,251.0,3.0,0.006924125016666949,6.0,16.0
103,251.0,4.0,0.0071736249956302345,6.0,10.0
104,251.0,5.0,0.007247667002957314,11.0,20.0
105,251.0,6.0,0.007631250016856939,9.0,22.0
106,251.0,7.0,0.007647165999514982,8.0,19.0
107,251.0,8.0,0.006848416989669204,12.0,22.0
108,251.0,9.0,0.007233874988742173,9.0,19.0
109,251.0,10.0,0.007141666021198034,11.0,21.0
110,251.0,11.0,0.006907875009346753,8.0,20.0
111,251.0,12.0,0.0069264170015230775,12.0,22.0
112,251.0,13.0,0.007228208996821195,11.0,22.0
113,251.0,14.0,0.007068040984449908,11.0,19.0
114,251.0,15.0,0.0069542919809464365,8.0,22.0
115,251.0,16.0,0.007227249996503815,9.0,21.0
116,251.0,17.0,0.00706987499142997,10.0,19.0
117,251.0,18.0,0.007040166005026549,12.0,21.0
118,251.0,19.0,0.007207415997982025,11.0,20.0
119,251.0,20.0,0.006988624983932823,10.0,21.0
120,301.0,1.0,0.006824167008744553,1.0,2.0
121,301.0,2.0,0.007535542012192309,3.0,8.0
122,301.0,3.0,0.00711512501584366,7.0,14.0
123,301.0,4.0,0.006826165976235643,7.0,17.0
124,301.0,5.0,0.007010334025835618,9.0,21.0
125,301.0,6.0,0.007780374988215044,12.0,20.0
126,301.0,7.0,0.006941875006305054,9.0,22.0
127,301.0,8.0,0.007024999998975545,11.0,22.0
128,301.0,9.0,0.0069869160070084035,12.0,22.0
129,301.0,10.0,0.007092124986229464,10.0,21.0
130,301.0,11.0,0.007463832997018471,11.0,19.0
131,301.0,12.0,0.007194917008746415,10.0,20.0
132,301.0,13.0,0.007307874999241903,10.0,23.0
133,301.0,14.0,0.0072247089992742985,9.0,23.0
134,301.0,15.0,0.00730220798868686,10.0,22.0
135,301.0,16.0,0.007141166977817193,11.0,21.0
136,301.0,17.0,0.008697665994986892,9.0,21.0
137,301.0,18.0,0.006962124985875562,10.0,21.0
138,301.0,19.0,0.007077625021338463,13.0,20.0
139,301.0,20.0,0.0074903329950757325,10.0,21.0
140,351.0,1.0,0.007199541985755786,1.0,3.0
141,351.0,2.0,0.007353333989158273,3.0,8.0
142,351.0,3.0,0.007140500005334616,5.0,11.0
143,351.0,4.0,0.006878749991301447,10.0,22.0
144,351.0,5.0,0.006731500005116686,8.0,22.0
145,351.0,6.0,0.007182875007856637,9.0,22.0
146,351.0,7.0,0.007852750015445054,12.0,20.0
147,351.0,8.0,0.007483250024961308,11.0,22.0
148,351.0,9.0,0.007185916998423636,13.0,22.0
