,n_movies,n_cat,time
0,5051,3,0.01828362501692027
1,5651,18,0.013843958993675187
2,9351,4,0.016751040995586663
3,7151,13,0.015487292024772614
4,1751,7,0.009717542008729652
5,2451,13,0.010036958003183827
6,3051,15,0.010523708013352007
7,6551,15,0.01464591600233689
8,7551,9,0.015488917008042336
9,5401,12,0.013537374994484708
10,2501,3,0.010338874999433756
11,1501,14,0.009013000002596527
12,4001,14,0.011603167018620297
13,7301,19,0.014989124989369884
14,3901,2,0.011393749999115244
15,2601,19,0.010177874995861202
16,6201,7,0.013632584013976157
17,6951,8,0.014346833020681515
18,9451,8,0.016856290982104838
19,851,14,0.00937679101480171
20,5251,10,0.01271879198611714
21,8301,6,0.015377291972981766
22,4401,20,0.011572667019208893
23,1351,16,0.00913012502132915
24,4001,1,0.011253582983044907
25,1101,20,0.008502582990331575
26,651,1,0.007863292004913092
27,4651,16,0.012232832988956943
28,8851,9,0.016317290981533006
29,7251,5,0.01480458298465237
30,7701,11,0.015271208016201854
31,2201,11,0.009670707979239523
32,3601,17,0.010918665997451171
33,6301,17,0.013760667003225535
34,8801,11,0.016520375007530674
35,3551,1,0.011175541003467515
36,7001,9,0.014558291994035244
37,2051,3,0.0094009579916019
38,5151,18,0.012488874985137954
39,3751,15,0.011109208018751815
40,6251,15,0.013815166981657967
41,8951,13,0.016399125015595928
42,6751,7,0.014314458006992936
43,7651,13,0.015307374997064471
44,2351,13,0.009869957983028144
45,9601,4,0.016782333987066522
46,1201,14,0.008475750015350059
47,5501,3,0.012561374984215945
48,4701,14,0.012321707996306941
49,5301,12,0.012573542015161365
50,1201,7,0.00833775001228787
51,901,16,0.008055332989897579
52,1951,8,0.010105832974659279
53,7401,19,0.015691874985350296
54,2101,19,0.009717458975501359
55,4901,2,0.012183417013147846
56,7701,5,0.015020874998299405
57,3001,1,0.010301208996679634
58,1451,16,0.008959208003943786
59,4301,20,0.011729749996447936
60,4151,16,0.011649582971585914
61,1601,20,0.009148291021119803
62,5551,10,0.012889667006675154
63,9101,8,0.01616458300850354
64,3101,17,0.01055199999245815
65,6401,17,0.013832665979862213
66,51,13,0.007375334011157975
67,7001,11,0.01405374999740161
68,2501,11,0.009717666980577633
69,4551,1,0.011839916987810284
70,8651,6,0.01590566599043086
71,301,1,0.007593666989123449
72,3151,12,0.010264167009154335
73,6451,12,0.013697916991077363
74,7051,14,0.014675292011816055
75,2551,14,0.010619167005643249
76,1651,19,0.00942745798965916
77,4351,19,0.011775666993344203
78,8351,3,0.016237957985140383
79,4051,4,0.011694250017171726
80,601,4,0.008095083001535386
81,3301,18,0.010680916020646691
82,6601,18,0.01424083299934864
83,9901,18,0.017595417011762038
84,2901,5,0.01072175000444986
85,1401,13,0.009211083990521729
86,3501,4,0.011051499983295798
87,4101,13,0.011573583004064858
88,5501,15,0.01305224999669008
89,5001,6,0.012738916993839666
90,1251,11,0.00846149999415502
91,9301,1,0.016255583002930507
92,4751,11,0.012027167016640306
93,5351,17,0.0129564999951981
94,1701,2,0.009074541012523696
95,951,13,0.00818991698906757
96,4751,8,0.011962332995608449
97,101,8,0.007228708011098206
98,2551,6,0.009583207982359454
99,3201,8,0.010543917014729232
100,1,15,0.007438874978106469
101,3701,10,0.010742958023911342
102,8901,16,0.016152249998413026
103,3951,7,0.011113415996078402
104,6201,10,0.013385333004407585
105,7601,16,0.015320916019845754
106,6251,2,0.01383333298144862
107,2151,20,0.009833374992012978
108,2301,16,0.009753082995302975
109,7451,20,0.014949708012863994
110,7751,14,0.015379875025246292
111,2251,14,0.009810583986109123
112,3651,12,0.010857999994186684
113,8851,14,0.016409166011726484
114,6351,12,0.013901541999075562
115,3051,4,0.01063179099583067
116,1151,19,0.00852879200829193
117,4451,19,0.011822833999758586
118,5901,5,0.01367466599913314
119,3401,18,0.011868500005220994
120,6101,18,0.013920666999183595
121,801,11,0.008217082999181002
122,5201,15,0.01249070800258778
123,4501,4,0.01201150001725182
124,1301,13,0.009329749998869374
125,8601,3,0.01574187498772517
126,351,4,0.007835791009711102
127,4601,13,0.011922624980797991
128,5451,17,0.012926499999593943
129,1551,11,0.008914167003240436
130,2001,6,0.009203499997965991
131,4051,11,0.011501667002448812
132,3751,8,0.011144207994220778
133,6701,2,0.013989832979859784
134,9651,1,0.016636582993669435
135,5551,6,0.012629708013264462
136,2651,20,0.010005542018916458
137,1251,2,0.008307915995828807
138,7101,16,0.014453166018938646
139,7351,20,0.01505620899843052
140,2401,16,0.009873583010630682
141,4201,8,0.011974959023064002
142,3001,10,0.011801207991084084
143,451,8,0.009269790985854343
144,6501,10,0.014109499985352159
145,4951,7,0.012174458999652416
146,2401,17,0.009888083004625514
147,7101,17,0.014488374989014119
148,1251,3,0.00856487499549985
149,4951,6,0.011924666992854327
150,451,9,0.007755541999358684
151,6501,11,0.013761290989350528
152,3001,11,0.010423250001622364
153,4201,9,0.011451291997218505
154,5551,7,0.012411083996994421
155,3751,9,0.010881833004532382
156,6701,3,0.013789124990580603
157,5601,20,0.0132357919937931
158,5451,16,0.012724542000796646
159,4051,10,0.011252041993429884
160,2001,7,0.009135999978752807
161,1551,10,0.008616874983999878
162,5201,14,0.012643624999327585
163,4601,12,0.011604333994910121
164,351,5,0.00805625002249144
165,8601,2,0.015688582992879674
166,1301,12,0.008682957995915785
167,4501,5,0.011563749983906746
168,5901,4,0.012907458993140608
169,801,10,0.007922667020466179
170,6101,19,0.013196124986279756
171,3401,19,0.01057558401953429
172,3051,5,0.010003458999563009
173,4451,18,0.012037458014674485
174,1151,18,0.008245375007390976
175,2251,15,0.009176666004350409
176,7751,1,0.014875499997287989
177,7751,15,0.015391292021377012
178,6351,13,0.013689750019693747
179,8851,15,0.016161957988515496
180,3651,13,0.010793041990837082
181,6201,11,0.013221999979577959
182,3951,6,0.010964332992443815
183,8901,17,0.01580991700757295
184,3701,11,0.010583041002973914
185,1,14,0.0069372500001918525
186,3201,9,0.010379834013292566
187,2301,17,0.009822749998420477
188,6251,3,0.013280334009323269
189,7601,17,0.014815958013059571
190,2551,7,0.009787208982743323
191,951,12,0.007937999995192513
192,1701,3,0.00871587498113513
193,101,9,0.00709566700970754
194,4751,9,0.011677000002237037
195,4751,10,0.011892082984559238
196,1251,10,0.008350916003109887
197,5001,7,0.012156582990428433
198,5101,20,0.012747166998451576
199,5351,16,0.012706875015283003
200,4101,12,0.01150504098040983
201,3501,5,0.010606124997138977
202,1401,12,0.008539333997759968
203,5501,14,0.012823124998249114
204,6601,19,0.014406625006813556
205,7201,1,0.014435374992899597
206,3301,19,0.010458541015395895
207,2901,4,0.010079957981361076
208,9901,19,0.017527250020066276
209,4351,18,0.011674165987642482
210,1651,18,0.00891666702227667
211,601,5,0.007666834018891677
212,4051,5,0.010965499997837469
213,8351,2,0.015269333001924679
214,6451,13,0.013621999998576939
215,3151,13,0.010328541015041992
216,2551,15,0.00965254197944887
217,7051,15,0.014586082979803905
218,8651,7,0.015888875001110137
219,6401,16,0.01412779200472869
220,3351,20,0.010955500009004027
221,5951,1,0.013091040978906676
222,3101,16,0.010925958020379767
223,6651,20,0.013936041999841109
224,9101,9,0.01603625001735054
225,2501,10,0.009574499999871477
226,9951,20,0.017503875016700476
227,51,12,0.007263125007739291
228,7001,10,0.014037499990081415
229,4151,17,0.011403665994293988
230,1451,17,0.008677125006215647
231,5551,11,0.012505374994361773
232,7701,4,0.015109375002793968
233,1951,9,0.009123041993007064
234,901,17,0.008034124999539927
235,1201,6,0.008270041987998411
236,4901,3,0.012140042003011331
237,2101,18,0.00952412499464117
238,7401,18,0.014676041988423094
239,4701,15,0.011959958006627858
240,5501,2,0.012780832999851555
241,1201,15,0.008355749974725768
242,9601,5,0.016436750011052936
243,5301,13,0.012789250002242625
244,8951,12,0.016425958019681275
245,6251,14,0.013370791974011809
246,3751,14,0.01107033298467286
247,2351,12,0.00950770900817588
248,7651,12,0.01498179099871777
249,6751,6,0.013965707999886945
250,7001,8,0.014234541013138369
251,5151,19,0.012522417004220188
252,2051,2,0.009242458996595815
253,2201,10,0.009177917003398761
254,7701,10,0.014764791005291045
255,7251,4,0.01517379199503921
256,8801,10,0.016067916993051767
257,2951,1,0.010240750008961186
258,3451,20,0.011090457992395386
259,6301,16,0.013546333007980138
260,6151,20,0.013343958999030292
261,3601,16,0.011089542007539421
262,5251,11,0.01224549999460578
263,8851,8,0.015581166982883587
264,4651,17,0.011824125016573817
265,1351,17,0.008265832992037758
266,8301,7,0.015281542000593618
267,9451,9,0.016887999983737245
268,851,15,0.008510292012942955
269,2601,18,0.009838208992732689
270,3901,3,0.010797499999171123
271,7301,18,0.01485895799123682
272,6951,9,0.014131791016552597
273,6201,6,0.0132608340063598
274,5401,13,0.012417541991453618
275,7551,8,0.014449290989432484
276,4001,15,0.011141875002067536
277,1501,15,0.008713666000403464
278,2501,2,0.009622333018342033
279,2451,12,0.009568208013661206
280,1751,6,0.008717541000805795
281,7151,12,0.014150749979307875
282,6551,14,0.013861749990610406
283,3051,14,0.010245332989143208
284,9351,5,0.016331791994161904
285,5651,19,0.0136221669963561
286,5051,2,0.012107749993447214
287,6701,20,0.013922917016316205
288,8401,9,0.015721833013230935
289,3051,16,0.010147082997718826
290,3201,20,0.010859624977456406
291,6551,16,0.013906042004236951
292,1751,4,0.008917125000152737
293,7151,10,0.013994625012855977
294,2451,10,0.009677082998678088
295,9801,20,0.01714316601282917
296,9351,7,0.01630658400245011
297,9801,8,0.017124332982348278
298,6201,4,0.013272416981635615
299,3901,1,0.011162417009472847
300,1501,17,0.008716292009921744
301,4001,17,0.01118545900681056
302,5401,11,0.012902290996862575
303,8301,5,0.01534745897515677
304,4001,2,0.010954750003293157
305,1351,15,0.008479916024953127
306,651,2,0.007720790978055447
307,4651,15,0.012075625010766089
308,5251,13,0.012740583013510332
309,1051,8,0.008336875005625188
310,851,17,0.0080870829988271
311,7551,18,0.014801790995988995
