,n_movies,n_cat,time,n_output
0,1.0,1.0,0.009165374998701736,1.0
1,1.0,2.0,0.0077897080045659095,1.0
2,1.0,3.0,0.009632749992306344,1.0
3,1.0,4.0,0.006689292000373825,1.0
4,1.0,5.0,0.007361541996942833,1.0
5,1.0,6.0,0.00772391700593289,1.0
6,1.0,7.0,0.00673320799251087,1.0
7,1.0,8.0,0.006792291009332985,1.0
8,1.0,9.0,0.007271416994626634,0.0
9,1.0,10.0,0.008137290991726331,0.0
10,101.0,1.0,0.008771207998506725,1.0
11,101.0,2.0,0.007628499995917082,3.0
12,101.0,3.0,0.007388124999124557,7.0
13,101.0,4.0,0.007170999990194105,7.0
14,101.0,5.0,0.007445457988069393,10.0
15,101.0,6.0,0.007485166992410086,11.0
16,101.0,7.0,0.007534874996053986,10.0
17,101.0,8.0,0.008108291993266903,11.0
18,101.0,9.0,0.00712783400376793,10.0
19,101.0,10.0,0.007157582993386313,11.0
20,201.0,1.0,0.007697082997765392,1.0
21,201.0,2.0,0.007686458993703127,3.0
22,201.0,3.0,0.007281207988853566,7.0
23,201.0,4.0,0.007873708003899083,5.0
24,201.0,5.0,0.008190249995095655,10.0
25,201.0,6.0,0.008050499993260019,14.0
26,201.0,7.0,0.008305875002406538,15.0
27,201.0,8.0,0.007436542000505142,12.0
28,201.0,9.0,0.01045124999654945,15.0
29,201.0,10.0,0.007128207987989299,14.0
30,301.0,1.0,0.007915458001662046,1.0
31,301.0,2.0,0.007337791990721598,2.0
32,301.0,3.0,0.007933749991934747,6.0
33,301.0,4.0,0.007966999997734092,9.0
34,301.0,5.0,0.0074177500064251944,12.0
35,301.0,6.0,0.008037584004341625,15.0
36,301.0,7.0,0.00877566599228885,12.0
37,301.0,8.0,0.007684041993343271,13.0
38,301.0,9.0,0.008618374995421618,16.0
39,301.0,10.0,0.007349999999860302,16.0
40,401.0,1.0,0.008206166996387765,1.0
41,401.0,2.0,0.007694250001804903,3.0
42,401.0,3.0,0.008668292008223943,6.0
43,401.0,4.0,0.008216458998504095,14.0
44,401.0,5.0,0.008107499990728684,12.0
45,401.0,6.0,0.008046708986512385,17.0
46,401.0,7.0,0.008187624989659525,16.0
47,401.0,8.0,0.008428458997514099,18.0
48,401.0,9.0,0.007921625001472421,15.0
49,401.0,10.0,0.008052083998336457,14.0
50,501.0,1.0,0.007655000008526258,1.0
51,501.0,2.0,0.007962458999827504,3.0
52,501.0,3.0,0.00813229099730961,3.0
53,501.0,4.0,0.009030249988427386,11.0
54,501.0,5.0,0.009912458001053892,10.0
55,501.0,6.0,0.008074792000115849,16.0
56,501.0,7.0,0.00837512499128934,16.0
57,501.0,8.0,0.0077462909976020455,17.0
58,501.0,9.0,0.008251000006566755,15.0
59,501.0,10.0,0.007240499995532446,18.0
60,601.0,1.0,0.007894958005636,1.0
61,601.0,2.0,0.008448667009361088,3.0
62,601.0,3.0,0.007839541998691857,7.0
63,601.0,4.0,0.00812091700208839,13.0
64,601.0,5.0,0.008529041995643638,15.0
65,601.0,6.0,0.008143416998791508,18.0
66,601.0,7.0,0.008418583005550317,17.0
67,601.0,8.0,0.008316958002978936,16.0
68,601.0,9.0,0.007597834002808668,21.0
69,601.0,10.0,0.007419707995723002,19.0
70,701.0,1.0,0.008735084004001692,1.0
71,701.0,2.0,0.007976500011864118,3.0
72,701.0,3.0,0.00847887501004152,4.0
73,701.0,4.0,0.008019832996069454,10.0
74,701.0,5.0,0.008879749992047437,11.0
75,701.0,6.0,0.008658208011183888,18.0
76,701.0,7.0,0.007394250002107583,19.0
77,701.0,8.0,0.009943791999830864,17.0
78,701.0,9.0,0.008235000001150183,17.0
79,701.0,10.0,0.007745082999463193,17.0
80,801.0,1.0,0.008537292000255547,1.0
81,801.0,2.0,0.008816250003292225,3.0
82,801.0,3.0,0.009129541998845525,6.0
83,801.0,4.0,0.008075499994447455,13.0
84,801.0,5.0,0.008527792000677437,14.0
85,801.0,6.0,0.008059750005486421,17.0
86,801.0,7.0,0.0077600000076927245,21.0
87,801.0,8.0,0.008436250005615875,19.0
88,801.0,9.0,0.008329374992172234,20.0
89,801.0,10.0,0.008341292006662115,20.0
90,901.0,1.0,0.008120458995108493,1.0
91,901.0,2.0,0.00812591599242296,2.0
92,901.0,3.0,0.007717166998190805,5.0
93,901.0,4.0,0.008449916000245139,9.0
94,901.0,5.0,0.008314167003845796,17.0
95,901.0,6.0,0.007768291005049832,17.0
96,901.0,7.0,0.008242041993071325,20.0
97,901.0,8.0,0.008475124996039085,19.0
98,901.0,9.0,0.008977083998615853,20.0
99,901.0,10.0,0.007665832992643118,21.0
100,1001.0,1.0,0.008402374995057471,1.0
101,1001.0,2.0,0.007901875011157244,2.0
102,1001.0,3.0,0.008679374994244426,8.0
103,1001.0,4.0,0.008718166005564854,12.0
104,1001.0,5.0,0.008501125004841015,13.0
105,1001.0,6.0,0.008060334002948366,15.0
106,1001.0,7.0,0.0083102499920642,19.0
107,1001.0,8.0,0.009063042001798749,22.0
108,1001.0,9.0,0.009114624990615994,21.0
109,1001.0,10.0,0.008575542000471614,18.0
110,1101.0,1.0,0.008772125001996756,1.0
111,1101.0,2.0,0.00856224999006372,4.0
112,1101.0,3.0,0.0087726659985492,5.0
113,1101.0,4.0,0.008418084005825222,10.0
114,1101.0,5.0,0.009099874994717538,18.0
115,1101.0,6.0,0.008313208003528416,19.0
116,1101.0,7.0,0.008416999990004115,21.0
117,1101.0,8.0,0.0087123330013128,20.0
118,1101.0,9.0,0.008469208012684248,19.0
119,1101.0,10.0,0.0083693329943344,21.0
120,1201.0,1.0,0.009129249985562637,1.0
121,1201.0,2.0,0.009098082999116741,3.0
122,1201.0,3.0,0.007922542004962452,8.0
123,1201.0,4.0,0.008556208005757071,11.0
124,1201.0,5.0,0.009349416999612004,15.0
125,1201.0,6.0,0.009351125001558103,23.0
126,1201.0,7.0,0.009051333996467292,21.0
127,1201.0,8.0,0.008744000006117858,20.0
128,1201.0,9.0,0.008751208006287925,22.0
129,1201.0,10.0,0.008579042012570426,23.0
130,1301.0,1.0,0.00887700000021141,1.0
131,1301.0,2.0,0.00873120900359936,4.0
132,1301.0,3.0,0.008144167004502378,6.0
133,1301.0,4.0,0.009129291996941902,10.0
134,1301.0,5.0,0.008836208013235591,17.0
135,1301.0,6.0,0.008614042002591304,21.0
136,1301.0,7.0,0.009309750006650575,20.0
137,1301.0,8.0,0.009900874996674247,20.0
138,1301.0,9.0,0.008854125000652857,23.0
139,1301.0,10.0,0.011933500005397946,21.0
140,1401.0,1.0,0.008837667002808303,1.0
141,1401.0,2.0,0.009175874991342425,4.0
142,1401.0,3.0,0.00966041699575726,7.0
143,1401.0,4.0,0.009681958006694913,9.0
144,1401.0,5.0,0.00925216599716805,19.0
145,1401.0,6.0,0.008433208000496961,22.0
146,1401.0,7.0,0.009420166999916546,22.0
147,1401.0,8.0,0.009339791999082081,23.0
148,1401.0,9.0,0.00977008300833404,22.0
149,1401.0,10.0,0.00957258400740102,21.0
150,1501.0,1.0,0.0088207499939017,1.0
151,1501.0,2.0,0.008926666996558197,3.0
152,1501.0,3.0,0.008175374998245388,7.0
153,1501.0,4.0,0.00914395900326781,6.0
154,1501.0,5.0,0.009722333008539863,18.0
155,1501.0,6.0,0.009276332988520153,22.0
156,1501.0,7.0,0.008195458009140566,22.0
157,1501.0,8.0,0.009051417000591755,22.0
158,1501.0,9.0,0.010674125005607493,23.0
159,1501.0,10.0,0.00839083400205709,21.0
160,1601.0,1.0,0.00809062500775326,1.0
161,1601.0,2.0,0.008526375007932074,3.0
162,1601.0,3.0,0.008426083993981592,5.0
163,1601.0,4.0,0.009434665989829227,12.0
164,1601.0,5.0,0.009457791005843319,15.0
165,1601.0,6.0,0.009180708992062137,18.0
166,1601.0,7.0,0.009375083987833932,20.0
167,1601.0,8.0,0.009271124989027157,23.0
168,1601.0,9.0,0.00894654099829495,23.0
169,1601.0,10.0,0.008995957992738113,21.0
170,1701.0,1.0,0.009284540996304713,1.0
171,1701.0,2.0,0.009246832996723242,4.0
172,1701.0,3.0,0.009953540997230448,7.0
173,1701.0,4.0,0.009768999996595085,12.0
174,1701.0,5.0,0.009022250000271015,19.0
175,1701.0,6.0,0.009302666992880404,18.0
176,1701.0,7.0,0.009429625002667308,22.0
177,1701.0,8.0,0.00866466699517332,22.0
178,1701.0,9.0,0.009614750000764616,22.0
179,1701.0,10.0,0.009574709009029903,22.0
180,1801.0,1.0,0.009865125000942498,1.0
181,1801.0,2.0,0.008633833000203595,4.0
182,1801.0,3.0,0.01037308300146833,5.0
183,1801.0,4.0,0.00913162500364706,8.0
184,1801.0,5.0,0.008812208005110733,19.0
185,1801.0,6.0,0.010015916006523184,22.0
186,1801.0,7.0,0.009080667005036958,22.0
187,1801.0,8.0,0.009340207994682714,20.0
188,1801.0,9.0,0.009583749997545965,22.0
189,1801.0,10.0,0.009219375002430752,22.0
190,1901.0,1.0,0.009619167001801543,1.0
191,1901.0,2.0,0.008988292000140063,3.0
192,1901.0,3.0,0.00925587500387337,5.0
193,1901.0,4.0,0.009121958006289788,10.0
194,1901.0,5.0,0.009437750006327406,12.0
195,1901.0,6.0,0.009437624990823679,21.0
196,1901.0,7.0,0.009101791991270147,23.0
197,1901.0,8.0,0.008983250008895993,23.0
198,1901.0,9.0,0.009669082995969802,23.0
199,1901.0,10.0,0.008783375000348315,23.0
200,2001.0,1.0,0.00972058399929665,1.0
201,2001.0,2.0,0.008820582996122539,3.0
202,2001.0,3.0,0.010104540997417644,4.0
203,2001.0,4.0,0.009347541999886744,9.0
204,2001.0,5.0,0.010156415999517776,16.0
205,2001.0,6.0,0.009594083996489644,15.0
206,2001.0,7.0,0.009455542007344775,20.0
207,2001.0,8.0,0.00903137499699369,23.0
208,2001.0,9.0,0.009999750007409602,23.0
209,2001.0,10.0,0.009174833001452498,23.0
210,2101.0,1.0,0.009508167000603862,1.0
211,2101.0,2.0,0.010116040997672826,2.0
212,2101.0,3.0,0.01076716699753888,7.0
213,2101.0,4.0,0.01008074999845121,13.0
214,2101.0,5.0,0.009983291995013133,11.0
215,2101.0,6.0,0.009533042000839487,14.0
216,2101.0,7.0,0.009631583001464605,22.0
217,2101.0,8.0,0.011190667006303556,22.0
218,2101.0,9.0,0.009781583008589223,23.0
219,2101.0,10.0,0.009158665998256765,23.0
220,2201.0,1.0,0.009839709004154429,1.0
221,2201.0,2.0,0.009343833007733338,4.0
222,2201.0,3.0,0.008901333014364354,8.0
223,2201.0,4.0,0.009888500004308298,9.0
224,2201.0,5.0,0.009348749998025596,22.0
225,2201.0,6.0,0.010593917002552189,21.0
226,2201.0,7.0,0.010304916999302804,23.0
227,2201.0,8.0,0.009178166001220234,23.0
228,2201.0,9.0,0.009565625005052425,22.0
229,2201.0,10.0,0.010957083009998314,23.0
230,2301.0,1.0,0.009949457991751842,1.0
231,2301.0,2.0,0.011663417011732236,3.0
232,2301.0,3.0,0.009878791999653913,5.0
233,2301.0,4.0,0.009909417000017129,7.0
234,2301.0,5.0,0.009371084001031704,16.0
235,2301.0,6.0,0.009696709006675519,20.0
236,2301.0,7.0,0.009563499988871627,22.0
237,2301.0,8.0,0.00997554199420847,23.0
238,2301.0,9.0,0.009758375003002584,22.0
239,2301.0,10.0,0.010109374998137355,23.0
240,2401.0,1.0,0.009783000001334585,1.0
241,2401.0,2.0,0.01171200000680983,3.0
242,2401.0,3.0,0.01019087499298621,7.0
243,2401.0,4.0,0.010155416995985433,7.0
244,2401.0,5.0,0.011835790995974094,8.0
245,2401.0,6.0,0.010978207996231504,13.0
246,2401.0,7.0,0.009449042001506314,21.0
247,2401.0,8.0,0.010870624988456257,21.0
248,2401.0,9.0,0.009739333996549249,23.0
249,2401.0,10.0,0.01045708399033174,23.0
250,2501.0,1.0,0.009837250006967224,1.0
251,2501.0,2.0,0.01119779200234916,2.0
252,2501.0,3.0,0.008646292000776157,6.0
253,2501.0,4.0,0.009706250013550743,9.0
254,2501.0,5.0,0.009647541999584064,16.0
255,2501.0,6.0,0.01162250000925269,23.0
256,2501.0,7.0,0.010566083990852349,21.0
257,2501.0,8.0,0.010323583002900705,22.0
258,2501.0,9.0,0.010693542004446499,23.0
259,2501.0,10.0,0.009568583001964726,23.0
260,2601.0,1.0,0.009490416006883606,1.0
261,2601.0,2.0,0.010009791993070394,2.0
262,2601.0,3.0,0.009702708004624583,4.0
263,2601.0,4.0,0.009406750003108755,9.0
264,2601.0,5.0,0.010214584006462246,10.0
265,2601.0,6.0,0.010764124992419966,23.0
266,2601.0,7.0,0.010403833002783358,23.0
267,2601.0,8.0,0.01034866699774284,23.0
268,2601.0,9.0,0.010170708002988249,23.0
269,2601.0,10.0,0.010066916001960635,23.0
270,2701.0,1.0,0.010295083993696608,1.0
271,2701.0,2.0,0.009653958011767827,2.0
272,2701.0,3.0,0.009982749994378537,8.0
273,2701.0,4.0,0.01171258398971986,6.0
274,2701.0,5.0,0.010928874995443039,14.0
275,2701.0,6.0,0.00966095800686162,23.0
276,2701.0,7.0,0.010077250000904314,23.0
277,2701.0,8.0,0.010590083998977207,23.0
278,2701.0,9.0,0.010976916004437953,23.0
279,2701.0,10.0,0.010021209003753029,23.0
280,2801.0,1.0,0.010174166993238032,1.0
281,2801.0,2.0,0.010695792007027194,3.0
282,2801.0,3.0,0.010851917002582923,9.0
283,2801.0,4.0,0.010140999991563149,8.0
284,2801.0,5.0,0.010057084000436589,12.0
285,2801.0,6.0,0.009809625000343658,20.0
286,2801.0,7.0,0.010454499992192723,23.0
287,2801.0,8.0,0.010358208004618064,23.0
288,2801.0,9.0,0.011334750000969507,23.0
289,2801.0,10.0,0.0100822920067003,22.0
290,2901.0,1.0,0.010309290999430232,1.0
291,2901.0,2.0,0.01110487499681767,2.0
292,2901.0,3.0,0.010376916994573548,6.0
293,2901.0,4.0,0.010260665992973372,12.0
294,2901.0,5.0,0.010916250001173466,14.0
295,2901.0,6.0,0.010993791991495527,22.0
296,2901.0,7.0,0.010600125009659678,23.0
297,2901.0,8.0,0.011141042006784119,21.0
298,2901.0,9.0,0.010617166000884026,23.0
299,2901.0,10.0,0.010298499997588806,23.0
300,3001.0,1.0,0.01004395799827762,1.0
301,3001.0,2.0,0.010755791998235509,4.0
302,3001.0,3.0,0.010747583000920713,4.0
303,3001.0,4.0,0.010654790996341035,7.0
304,3001.0,5.0,0.010608625001623295,15.0
305,3001.0,6.0,0.01121445800526999,21.0
306,3001.0,7.0,0.01051950000692159,23.0
