,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
0,1.0,1.0,0.006637665996095166,0.0,0.0
1,1.0,2.0,0.0069970420154277235,1.0,4.0
2,1.0,3.0,0.0067334999912418425,1.0,4.0
3,1.0,4.0,0.006346999987727031,1.0,3.0
4,1.0,5.0,0.0063632499950472265,1.0,2.0
5,1.0,6.0,0.0066172920051030815,1.0,3.0
6,1.0,7.0,0.006854209001176059,1.0,4.0
7,1.0,8.0,0.006935499986866489,1.0,3.0
8,1.0,9.0,0.007436958025209606,1.0,3.0
9,1.0,10.0,0.006677124998532236,1.0,4.0
10,1.0,11.0,0.006813332991441712,1.0,1.0
11,1.0,12.0,0.007500000006984919,1.0,5.0
12,1.0,13.0,0.006332165998173878,1.0,2.0
13,1.0,14.0,0.006830333994003013,1.0,4.0
14,1.0,15.0,0.0068367090134415776,1.0,3.0
15,1.0,16.0,0.006456250004703179,1.0,3.0
16,1.0,17.0,0.006799875001888722,1.0,4.0
17,1.0,18.0,0.006457500014221296,1.0,2.0
18,1.0,19.0,0.006710665998980403,1.0,1.0
19,1.0,20.0,0.007310832996154204,1.0,2.0
20,51.0,1.0,0.006537833018228412,1.0,2.0
21,51.0,2.0,0.006897999992361292,2.0,5.0
22,51.0,3.0,0.006948958005523309,8.0,20.0
23,51.0,4.0,0.006756375019904226,10.0,22.0
24,51.0,5.0,0.0068670419859699905,7.0,19.0
25,51.0,6.0,0.007325125014176592,11.0,20.0
26,51.0,7.0,0.00673770799767226,8.0,16.0
27,51.0,8.0,0.006914707977557555,10.0,19.0
28,51.0,9.0,0.006932165997568518,9.0,19.0
29,51.0,10.0,0.006881334003992379,8.0,21.0
30,51.0,11.0,0.006862709007691592,9.0,19.0
31,51.0,12.0,0.0070180000038817525,8.0,18.0
32,51.0,13.0,0.00664820900419727,9.0,20.0
33,51.0,14.0,0.006894041987834498,12.0,20.0
34,51.0,15.0,0.006945834000362083,8.0,15.0
35,51.0,16.0,0.006963459018152207,8.0,18.0
36,51.0,17.0,0.007227458001580089,9.0,20.0
37,51.0,18.0,0.006713459006277844,10.0,18.0
38,51.0,19.0,0.006966792017919943,9.0,20.0
39,51.0,20.0,0.006652874988503754,10.0,22.0
40,101.0,1.0,0.007310666987905279,1.0,2.0
41,101.0,2.0,0.006926041009137407,3.0,6.0
42,101.0,3.0,0.006761291995644569,7.0,13.0
43,101.0,4.0,0.006675333017483354,9.0,19.0
44,101.0,5.0,0.006448625004850328,10.0,18.0
45,101.0,6.0,0.006781291012885049,10.0,17.0
46,101.0,7.0,0.006911333010066301,9.0,16.0
47,101.0,8.0,0.006968250003410503,11.0,20.0
48,101.0,9.0,0.006558624998433515,12.0,22.0
49,101.0,10.0,0.006758707982953638,11.0,21.0
50,101.0,11.0,0.006866792013170198,10.0,22.0
51,101.0,12.0,0.007245249988045543,11.0,19.0
52,101.0,13.0,0.006634583027334884,11.0,19.0
53,101.0,14.0,0.006739959004335105,14.0,21.0
54,101.0,15.0,0.00682366598630324,11.0,21.0
55,101.0,16.0,0.006812290986999869,12.0,19.0
56,101.0,17.0,0.006709042005240917,11.0,18.0
57,101.0,18.0,0.006825290998676792,10.0,18.0
58,101.0,19.0,0.007146042014937848,13.0,21.0
59,101.0,20.0,0.006481917022028938,12.0,22.0
60,151.0,1.0,0.007543083018390462,1.0,2.0
61,151.0,2.0,0.006732166017172858,3.0,5.0
62,151.0,3.0,0.007244584005093202,3.0,6.0
63,151.0,4.0,0.007146791991544887,10.0,16.0
64,151.0,5.0,0.006829374993685633,12.0,18.0
65,151.0,6.0,0.007176167011493817,12.0,20.0
66,151.0,7.0,0.007462292007403448,13.0,22.0
67,151.0,8.0,0.006865417002700269,12.0,21.0
68,151.0,9.0,0.006655542005319148,13.0,18.0
69,151.0,10.0,0.00701716699404642,16.0,22.0
70,151.0,11.0,0.006915792007930577,15.0,21.0
71,151.0,12.0,0.00689341701217927,12.0,20.0
72,151.0,13.0,0.006980750011280179,13.0,22.0
73,151.0,14.0,0.007042874989565462,14.0,20.0
74,151.0,15.0,0.007129667006665841,11.0,17.0
75,151.0,16.0,0.008118416008073837,14.0,22.0
76,151.0,17.0,0.006788625003537163,14.0,21.0
77,151.0,18.0,0.006579415989108384,11.0,22.0
78,151.0,19.0,0.006745332997525111,14.0,20.0
79,151.0,20.0,0.0071389170188922435,12.0,21.0
80,201.0,1.0,0.00682687500375323,1.0,2.0
81,201.0,2.0,0.00748629099689424,4.0,7.0
82,201.0,3.0,0.006875166989630088,5.0,7.0
